Typ ; Linje ; JourneyID ; Dagar ; JourneyIDRef
TÅG ; Öresundståg ; 9015030110120189 ; måndag, tisdag, onsdag, torsdag, fredag, lördag, söndag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=178146%2F60657%2F195652%2F38444%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110002%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103004 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=551241%2F197059%2F270418%2F48538%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Västtågen ; 9015014132103018 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=788190%2F276047%2F466136%2F29662%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110001%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100002 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=16227%2F5829%2F293982%2F141582%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400002 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=814863%2F272103%2F590010%2F23384%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
733 ; Buss 733 ; 9015014673300002 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=267708%2F89688%2F148614%2F14929%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110014%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200002 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=763503%2F254935%2F615220%2F53109%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100001 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=105546%2F38220%2F57406%2F6479%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110005%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100002 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=431994%2F147048%2F628554%2F170279%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110011%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000001 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=77283%2F34400%2F167280%2F57879%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
